*********************************************************************************************************start
By CHINAMI-JBU9G23
2024年12月8日  22:11:40

操作系统:  Windows 11  (10.0.22621) 64bit
系统内存大小:  32544
设备模型:  MS-7D94 (Micro-Star International Co., Ltd.)
设备唯一标识符:  9f6428c0edde7502a5a7f860e890938052a694a5
处理器数量:  24
处理器类型:  13th Gen Intel(R) Core(TM) i7-13700K
显卡标识符:  9476
显卡名称:  NVIDIA GeForce RTX 3060
显卡标识符:  4318
显卡厂商:  NVIDIA
显卡版本:  Direct3D 11.0 [level 11.1]
显存大小:  12115
显卡着色器级别:  50
是否图像效果:  True
是否支持内置阴影:  True
*********************************************************************************************************end
LogInfo:

[I]22:11:55.331 isWait:True
[I]22:11:55.350 isWait:True
[I]22:11:55.369 isWait:True
[I]22:11:55.404 isWait:True
[I]22:11:55.409 isWait:True
[I]22:11:55.439 isWait:True
[I]22:11:55.457 isWait:True
[I]22:11:55.476 isWait:True
[I]22:11:55.495 isWait:True
[I]22:11:55.514 isWait:True
[I]22:11:55.532 isWait:True
[I]22:11:55.551 isWait:True
[I]22:11:55.570 isWait:True
[I]22:11:55.589 isWait:True
[I]22:11:55.624 isWait:True
[I]22:11:55.648 isWait:True
[I]22:11:55.666 isWait:True
[I]22:11:55.684 isWait:True
[I]22:11:55.702 isWait:True
[I]22:11:55.720 isWait:True
[I]22:11:55.739 isWait:True
[I]22:11:55.758 isWait:True
[I]22:11:55.777 isWait:True
[I]22:11:55.797 isWait:True
[I]22:11:55.815 isWait:True
[I]22:11:55.833 isWait:True
[I]22:11:55.857 isWait:True
[I]22:11:55.874 isWait:True
[I]22:11:55.892 isWait:True
[I]22:11:55.912 isWait:True
[I]22:11:55.931 isWait:True
[I]22:11:55.948 isWait:True
[I]22:11:55.984 isWait:True
[I]22:11:55.989 isWait:True
[I]22:11:56.015 isWait:True
[I]22:11:56.033 isWait:True
[I]22:11:56.052 isWait:True
[I]22:11:56.075 isWait:True
[I]22:11:56.093 isWait:True
[I]22:11:56.113 isWait:True
[I]22:11:56.132 isWait:True
[I]22:11:56.150 isWait:True
[I]22:11:56.168 isWait:True
[I]22:11:56.189 isWait:True
[I]22:11:56.226 isWait:True
[I]22:11:56.244 isWait:True
[I]22:11:56.262 isWait:True
[I]22:11:56.284 isWait:True
[I]22:11:56.304 isWait:True
[I]22:11:56.322 isWait:True
[I]22:11:56.341 isWait:True
[I]22:11:56.360 isWait:True
[I]22:11:56.378 isWait:True
[I]22:11:56.396 isWait:True
[I]22:11:56.415 isWait:True
[I]22:11:56.433 isWait:True
[I]22:11:56.452 isWait:True
[I]22:11:56.470 isWait:True
[I]22:11:56.493 isWait:True
[I]22:11:56.513 isWait:True
[I]22:11:56.531 isWait:True
[I]22:11:56.550 isWait:True
[I]22:11:56.568 isWait:True
[I]22:11:56.587 isWait:True
[I]22:11:56.624 isWait:True
[I]22:11:56.642 isWait:True
[I]22:11:56.660 isWait:True
[I]22:11:56.679 isWait:True
[I]22:11:56.701 isWait:True
[I]22:11:56.720 isWait:True
[I]22:11:56.738 isWait:True
[I]22:11:56.758 isWait:True
[I]22:11:56.776 isWait:True
[I]22:11:56.794 isWait:True
[I]22:11:56.814 isWait:True
[I]22:11:56.833 isWait:True
[I]22:11:56.852 isWait:True
